Entry No.	Data source	Lab	Run	Type	Observed ys (m)	duration (hr)	Flume data	width (m)	Lflume (m)	Sediment data	d50 (mm)	sigma_g	Flow data	y (m)	V (m/s)	Vc (m/s) original paper	Vc paper	Pier data	Column dimensions	bcol (m)	Lcol (m)	Pier shape	Kshape,col	Pile cap dimensions	bpc (m)	Lpc (m)	T (m)	f (m)	f2 (m)	h0 (m)	h1 (m)	PC shape	Kshape,pc	Pile group dimensions	bp (m)	m	n	Sn (m)	Sm (m)	Pier shape	Kshape,pg	****
11	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-10	complex pier	0.022	75	****	0.6	25	****	0.6	1.2	****	0.149006	0.251667718	0.31	Beheshti&Ataie 2018	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.029998	0.002002	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
12	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-11	complex pier	0.030008	72	****	0.6	26	****	0.6	1.2	****	0.154	0.229437229	0.31	Beheshti&Ataie 2019	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.025004	0.006996	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
13	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-12	complex pier	0.052008	46	****	0.6	27	****	0.6	1.2	****	0.147004	0.234687491	0.31	Beheshti&Ataie 2020	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.025004	0.006996	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
14	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-13	complex pier	0.04499	18.8	****	0.6	28	****	0.6	1.2	****	0.147004	0.233553735	0.31	Beheshti&Ataie 2021	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.023992	0.008008	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
15	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-14	complex pier	0.03399	18.6	****	0.6	29	****	0.6	1.2	****	0.145992	0.232889473	0.31	Beheshti&Ataie 2022	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.023992	0.008008	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
16	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-15	complex pier	0.046002	36	****	0.6	30	****	0.6	1.2	****	0.149006	0.244956579	0.31	Beheshti&Ataie 2023	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.018998	0.013002	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
17	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-16	complex pier	0.04499	14.3	****	0.6	31	****	0.6	1.2	****	0.149006	0.227060208	0.31	Beheshti&Ataie 2024	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.018008	0.013992	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
18	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-17	complex pier	0.046002	20.6	****	0.6	32	****	0.6	1.2	****	0.147994	0.228612872	0.31	Beheshti&Ataie 2025	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.018008	0.013992	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
19	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-18	complex pier	0.04301	16.5	****	0.6	33	****	0.6	1.2	****	0.149996	0.226672711	0.31	Beheshti&Ataie 2026	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.014004	0.017996	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
20	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-19	complex pier	0.059994	28.5	****	0.6	34	****	0.6	1.2	****	0.151998	0.223687154	0.31	Beheshti&Ataie 2027	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.014994	0.017006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
21	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-20	complex pier	0.059994	32.5	****	0.6	35	****	0.6	1.2	****	0.149996	0.236672978	0.31	Beheshti&Ataie 2028	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.00901	0.02299	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
22	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-21	complex pier	0.048994	21	****	0.6	36	****	0.6	1.2	****	0.15499	0.227971697	0.31	Beheshti&Ataie 2029	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.007998	0.024002	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
23	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-22	complex pier	0.070004	34.1	****	0.6	37	****	0.6	1.2	****	0.149996	0.235561837	0.31	Beheshti&Ataie 2030	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.003994	0.028006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
24	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-23	complex pier	0.072996	21	****	0.6	38	****	0.6	1.2	****	0.149006	0.23488987	0.31	Beheshti&Ataie 2031	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.003994	0.028006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
25	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-24	complex pier	0.046002	33.4	****	0.6	39	****	0.6	1.2	****	0.140008	0.249985715	0.31	Beheshti&Ataie 2032	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.007006	0.039006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
26	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-25	complex pier	0.050996	32.6	****	0.6	40	****	0.6	1.2	****	0.151998	0.229169682	0.31	Beheshti&Ataie 2033	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.005004	0.037004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
27	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-26	complex pier	0.055	21	****	0.6	41	****	0.6	1.2	****	0.151998	0.232459199	0.31	Beheshti&Ataie 2034	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.005004	0.037004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
28	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-27	complex pier	0.048004	36	****	0.6	42	****	0.6	1.2	****	0.151998	0.231362693	0.31	Beheshti&Ataie 2035	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.005004	0.037004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
29	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-28	complex pier	0.050996	21.4	****	0.6	43	****	0.6	1.2	****	0.151008	0.230672106	0.31	Beheshti&Ataie 2036	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.014002	0.046002	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
30	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-29	complex pier	0.06501	18.8	****	0.6	44	****	0.6	1.2	****	0.14201	0.244114264	0.31	Beheshti&Ataie 2037	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.038994	0.070994	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
31	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-30	complex pier	0.0627	33.8	****	0.6	45	****	0.6	1.2	****	0.149006	0.241601009	0.31	Beheshti&Ataie 2038	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.084006	0.116006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
32	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-31	complex pier	0.06094	34.5	****	0.6	46	****	0.6	1.2	****	0.147994	0.242126933	0.31	Beheshti&Ataie 2039	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.07899	0.11099	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
33	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-32	complex pier	0.066352	34.1	****	0.6	47	****	0.6	1.2	****	0.149996	0.238895259	0.31	Beheshti&Ataie 2040	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.07899	0.11099	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
34	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-33	complex pier	0.063008	54	****	0.6	48	****	0.6	1.2	****	0.14399	0.244229923	0.31	Beheshti&Ataie 2041	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.119008	0.151008	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
35	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-34	complex pier	0.059994	15	****	0.6	49	****	0.6	1.2	****	0.147994	0.243253105	0.31	Beheshti&Ataie 2042	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.126004	0.158004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
36	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-35	complex pier	0.063998	36.1	****	0.6	50	****	0.6	1.2	****	0.14201	0.241767012	0.31	Beheshti&Ataie 2043	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.128006	0.160006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
37	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-36	complex pier	0.059994	22.7	****	0.6	51	****	0.6	1.2	****	0.149996	0.236672978	0.31	Beheshti&Ataie 2044	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.133	0.165	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
38	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-37	complex pier	0.039996	15.8	****	0.6	52	****	0.6	1.2	****	0.15499	0.223132675	0.31	Beheshti&Ataie 2045	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.13201	0.16401	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
39	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-38	complex pier	0.048004	19.5	****	0.6	53	****	0.6	1.2	****	0.14399	0.233812533	0.31	Beheshti&Ataie 2046	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.148004	0.180004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
40	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-39	complex pier	0.052998	12	****	0.6	54	****	0.6	1.2	****	0.14201	0.237072507	0.31	Beheshti&Ataie 2047	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	0.148004	0.180004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
41	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-1	complex pier	0.061992	36	****	0.6	55	****	0.6	1.2	****	0.149982	0.233361337	0.31	Beheshti&Ataie 2048	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.12201	-0.08001	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
42	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-2	complex pier	0.060018	36	****	0.6	56	****	0.6	1.2	****	0.15099	0.234011082	0.31	Beheshti&Ataie 2049	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.132006	-0.090006	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
43	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-3	complex pier	0.067998	30	****	0.6	57	****	0.6	1.2	****	0.151998	0.232020597	0.31	Beheshti&Ataie 2050	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.053004	-0.011004	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
44	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-4	complex pier	0.039984	47.3	****	0.6	58	****	0.6	1.2	****	0.148008	0.24762175	0.31	Beheshti&Ataie 2051	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.081984	-0.039984	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
45	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-5	complex pier	0.054012	48	****	0.6	59	****	0.6	1.2	****	0.144984	0.246349022	0.31	Beheshti&Ataie 2052	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.065016	-0.023016	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
46	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-6	complex pier	0.084	22.5	****	0.6	60	****	0.6	1.2	****	0.147	0.241950113	0.31	Beheshti&Ataie 2053	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.018018	0.023982	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
47	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-7	complex pier	0.088998	49.5	****	0.6	61	****	0.6	1.2	****	0.149982	0.23469483	0.31	Beheshti&Ataie 2054	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.03801	0.00399	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
48	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-8	complex pier	0.090006	34.5	****	0.6	62	****	0.6	1.2	****	0.149016	0.239683434	0.31	Beheshti&Ataie 2055	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.019992	0.022008	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
49	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-9	complex pier	0.088998	36	****	0.6	63	****	0.6	1.2	****	0.149016	0.240018969	0.31	Beheshti&Ataie 2056	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.012012	0.029988	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
50	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-10	complex pier	0.076986	30.8	****	0.6	64	****	0.6	1.2	****	0.153006	0.243672361	0.31	Beheshti&Ataie 2057	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.007014	0.034986	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
51	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-11	complex pier	0.07602	21	****	0.6	65	****	0.6	1.2	****	0.149016	0.236999159	0.31	Beheshti&Ataie 2058	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	-0.004998	0.037002	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
52	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-12	complex pier	0.074004	36	****	0.6	66	****	0.6	1.2	****	0.149016	0.234426728	0.31	Beheshti&Ataie 2059	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.00798	0.04998	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
53	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-13	complex pier	0.072996	36	****	0.6	67	****	0.6	1.2	****	0.15099	0.23092037	0.31	Beheshti&Ataie 2060	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.016002	0.058002	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
54	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-14	complex pier	0.056994	34.5	****	0.6	68	****	0.6	1.2	****	0.15099	0.231472283	0.31	Beheshti&Ataie 2061	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.086982	0.128982	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
55	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-15	complex pier	0.058002	10.7	****	0.6	69	****	0.6	1.2	****	0.153006	0.228749199	0.31	Beheshti&Ataie 2062	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.070014	0.112014	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
56	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-16	complex pier	0.051996	19.5	****	0.6	70	****	0.6	1.2	****	0.148008	0.2398519	0.31	Beheshti&Ataie 2063	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.086016	0.128016	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
57	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-17	complex pier	0.049014	15.2	****	0.6	71	****	0.6	1.2	****	0.149982	0.243362537	0.31	Beheshti&Ataie 2064	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.077994	0.119994	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
58	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-18	complex pier	0.040992	18.2	****	0.6	72	****	0.6	1.2	****	0.148008	0.236473704	0.31	Beheshti&Ataie 2065	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.092988	0.134988	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
59	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-19	complex pier	0.040992	15	****	0.6	73	****	0.6	1.2	****	0.149982	0.233361337	0.31	Beheshti&Ataie 2066	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.12201	0.16401	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
60	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-20	complex pier	0.039984	22.5	****	0.6	74	****	0.6	1.2	****	0.154014	0.229416373	0.31	Beheshti&Ataie 2067	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.14301	0.18501	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
61	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-21	complex pier	0.039984	22.5	****	0.6	75	****	0.6	1.2	****	0.149982	0.233361337	0.30	Beheshti&Ataie 2068	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.148008	0.190008	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
62	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model II-22	complex pier	0.03801	22.5	****	0.6	76	****	0.6	1.2	****	0.139986	0.261930955	0.34	Beheshti&Ataie 2069	****	****	0.042	0.15	Square Nose	1.1	****	0.09	0.19	0.042	0.025	0.024	0.14301	0.18501	Square Nose	1.1	****	0.016	3	2	0.048	0.065	Group of Cylinders	1	****
63	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-1	complex pier	0.022	40	****	0.6	77	****	0.6	1.3	****	0.14	0.239	0.32	Beheshti&Ataie 2070	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.021	0.012	Square Nose	1.1	****	0.019	3	2	0.03	0.045	Group of Cylinders	1	****
64	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-2	complex pier	0	24	****	0.6	78	****	0.6	1.3	****	0.14	0.229	0.32	Beheshti&Ataie 2071	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.034	-0.001	Square Nose	1.1	****	0.019	3	2	0.03	0.045	Group of Cylinders	1	****
65	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-3	complex pier	0.038	24	****	0.6	79	****	0.6	1.3	****	0.14	0.226	0.32	Beheshti&Ataie 2072	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.018	0.051	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
66	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-4	complex pier	0.001	72	****	0.6	80	****	0.6	1.3	****	0.14	0.236	0.32	Beheshti&Ataie 2073	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.032	0.001	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
67	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-5	complex pier	0.039	48	****	0.6	81	****	0.6	1.3	****	0.14	0.23	0.32	Beheshti&Ataie 2074	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.027	0.06	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
